"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LATENTVIEW","EQ","30-Jun-2023","346.50","349.20","355.00","346.60","351.00","351.65","351.55","4,00,165","14,06,79,505.20","12,238","2,02,824","50.69"
"LATENTVIEW","EQ","03-Jul-2023","351.65","353.85","376.50","350.00","375.50","374.90","369.92","33,98,302","1,25,71,14,943.05","52,198","11,33,902","33.37"
"LATENTVIEW","EQ","04-Jul-2023","374.90","377.00","379.25","368.15","374.00","373.05","373.42","10,85,964","40,55,17,040.80","23,679","4,46,676","41.13"
"LATENTVIEW","EQ","05-Jul-2023","373.05","374.05","388.00","372.00","381.95","380.45","382.55","18,53,717","70,91,37,674.85","35,145","7,95,809","42.93"
"LATENTVIEW","EQ","06-Jul-2023","380.45","382.00","390.00","378.15","380.20","380.15","384.72","8,96,698","34,49,73,485.60","17,859","4,37,560","48.80"
"LATENTVIEW","EQ","07-Jul-2023","380.15","377.00","379.50","368.00","369.10","369.50","372.66","5,57,998","20,79,42,018.45","16,008","2,62,541","47.05"
"LATENTVIEW","EQ","10-Jul-2023","369.50","372.85","379.70","367.70","368.55","369.45","374.18","4,21,444","15,76,96,067.70","11,619","1,97,674","46.90"
"LATENTVIEW","EQ","11-Jul-2023","369.45","369.05","374.10","367.15","370.00","369.85","370.84","2,75,654","10,22,23,621.80","8,335","1,39,697","50.68"
"LATENTVIEW","EQ","12-Jul-2023","369.85","370.00","372.95","364.00","364.50","364.95","366.91","4,49,596","16,49,63,362.45","11,539","1,68,690","37.52"
"LATENTVIEW","EQ","13-Jul-2023","364.95","366.50","371.70","356.20","360.25","358.55","364.37","4,70,743","17,15,24,613.35","14,827","2,02,600","43.04"
"LATENTVIEW","EQ","14-Jul-2023","358.55","360.40","376.35","360.40","370.25","370.05","369.84","8,56,444","31,67,45,750.20","26,561","3,74,471","43.72"
"LATENTVIEW","EQ","17-Jul-2023","370.05","374.50","401.90","373.20","390.00","390.40","393.65","51,97,114","2,04,58,21,639.20","80,900","14,58,235","28.06"
"LATENTVIEW","EQ","18-Jul-2023","390.40","394.75","397.80","379.20","384.00","382.90","385.56","8,78,325","33,86,44,782.10","19,516","3,58,866","40.86"
"LATENTVIEW","EQ","19-Jul-2023","382.90","385.40","390.30","381.05","383.20","383.00","385.15","7,38,130","28,42,92,673.90","16,512","2,57,684","34.91"
"LATENTVIEW","EQ","20-Jul-2023","383.00","385.00","396.80","381.00","388.10","387.85","389.12","10,10,473","39,31,91,463.70","22,134","3,23,232","31.99"
"LATENTVIEW","EQ","21-Jul-2023","387.85","381.70","388.70","380.00","380.85","381.05","383.32","4,99,164","19,13,38,301.45","14,226","2,26,387","45.35"
"LATENTVIEW","EQ","24-Jul-2023","381.05","383.00","387.00","376.35","378.00","377.50","382.15","3,46,760","13,25,14,254.60","10,990","1,65,878","47.84"
"LATENTVIEW","EQ","25-Jul-2023","377.50","379.50","382.00","371.40","376.50","375.00","376.44","3,47,640","13,08,64,638.05","10,205","1,58,601","45.62"
"LATENTVIEW","EQ","26-Jul-2023","375.00","376.60","381.10","371.30","374.35","373.30","376.11","3,25,894","12,25,70,652.55","11,521","1,42,518","43.73"
"LATENTVIEW","EQ","27-Jul-2023","373.30","374.95","377.00","362.00","367.00","365.80","367.32","10,18,960","37,42,86,953.35","33,112","3,62,018","35.53"
"LATENTVIEW","EQ","28-Jul-2023","365.80","362.00","381.00","362.00","378.00","378.35","375.02","9,26,789","34,75,60,844.60","23,615","3,67,300","39.63"
"LATENTVIEW","EQ","31-Jul-2023","378.35","381.00","385.90","376.00","378.60","379.55","381.43","5,38,679","20,54,68,097.85","17,312","2,59,862","48.24"
"LATENTVIEW","EQ","01-Aug-2023","379.55","381.90","390.00","379.75","384.10","384.65","386.03","7,40,606","28,58,98,543.60","16,601","3,65,346","49.33"
"LATENTVIEW","EQ","02-Aug-2023","384.65","386.70","389.45","371.30","374.90","375.20","381.40","5,53,154","21,09,70,231.95","21,452","2,29,816","41.55"
"LATENTVIEW","EQ","03-Aug-2023","375.20","372.00","385.20","371.80","383.30","381.10","377.90","3,42,128","12,92,89,671.25","10,952","1,42,072","41.53"
"LATENTVIEW","EQ","04-Aug-2023","381.10","384.85","386.95","380.00","382.10","381.55","383.05","3,19,555","12,24,05,773.70","9,747","1,61,303","50.48"
"LATENTVIEW","EQ","07-Aug-2023","381.55","382.50","386.95","373.05","375.50","374.25","378.57","3,50,635","13,27,41,404.60","12,369","1,79,321","51.14"
"LATENTVIEW","EQ","08-Aug-2023","374.25","376.15","383.00","372.20","380.15","379.95","378.42","5,52,445","20,90,55,818.65","17,894","2,03,109","36.77"
"LATENTVIEW","EQ","09-Aug-2023","379.95","380.85","408.95","379.85","401.00","401.25","397.74","46,77,232","1,86,03,38,758.45","78,888","16,42,088","35.11"
"LATENTVIEW","EQ","10-Aug-2023","401.25","401.00","417.70","392.20","395.70","395.90","406.54","36,05,601","1,46,58,05,004.10","65,137","14,06,840","39.02"
"LATENTVIEW","EQ","11-Aug-2023","395.90","398.00","406.95","391.65","392.50","393.95","399.65","13,19,152","52,72,01,967.75","31,159","4,75,796","36.07"
"LATENTVIEW","EQ","14-Aug-2023","393.95","393.90","393.90","380.50","388.25","387.90","387.32","5,21,808","20,21,04,513.80","13,938","2,21,385","42.43"
"LATENTVIEW","EQ","16-Aug-2023","387.90","385.25","416.40","384.50","405.00","404.00","408.67","26,61,312","1,08,76,01,251.25","53,674","9,70,274","36.46"
"LATENTVIEW","EQ","17-Aug-2023","404.00","407.00","435.00","406.90","433.75","432.75","426.54","56,74,371","2,42,03,64,668.55","90,933","17,20,339","30.32"
"LATENTVIEW","EQ","18-Aug-2023","432.75","436.85","441.05","423.00","426.30","425.45","429.39","21,74,874","93,38,71,552.85","42,469","7,43,125","34.17"
"LATENTVIEW","EQ","21-Aug-2023","425.45","428.75","446.00","423.25","439.00","437.45","437.73","28,75,274","1,25,85,90,558.35","50,704","9,55,534","33.23"
"LATENTVIEW","EQ","22-Aug-2023","437.45","440.90","449.95","434.00","437.95","436.05","442.25","19,16,945","84,77,70,641.20","35,204","7,13,804","37.24"
"LATENTVIEW","EQ","23-Aug-2023","436.05","438.30","444.45","418.00","420.45","424.75","431.65","12,27,698","52,99,32,873.00","24,129","5,51,592","44.93"
"LATENTVIEW","EQ","24-Aug-2023","424.75","422.95","444.05","422.10","437.00","436.50","435.72","22,27,235","97,04,45,728.40","39,366","6,37,200","28.61"
"LATENTVIEW","EQ","25-Aug-2023","436.50","430.10","436.80","424.20","429.00","431.10","430.25","9,75,029","41,95,09,422.10","19,728","3,87,059","39.70"
"LATENTVIEW","EQ","28-Aug-2023","431.10","434.40","434.40","420.60","425.15","422.90","426.65","6,69,768","28,57,59,506.25","17,442","3,08,831","46.11"
"LATENTVIEW","EQ","29-Aug-2023","422.90","425.55","434.10","417.00","419.00","418.75","422.74","9,18,377","38,82,35,265.40","20,337","4,39,517","47.86"
"LATENTVIEW","EQ","30-Aug-2023","418.75","423.25","429.95","421.75","427.20","425.10","425.68","9,11,227","38,78,89,503.70","24,178","3,99,535","43.85"
"LATENTVIEW","EQ","31-Aug-2023","425.10","428.00","434.95","423.10","425.25","426.00","429.47","9,67,740","41,56,17,099.85","18,184","4,74,079","48.99"
"LATENTVIEW","EQ","01-Sep-2023","426.00","428.05","458.10","428.05","456.90","455.15","448.35","49,08,267","2,20,06,27,446.40","81,766","18,65,558","38.01"
"LATENTVIEW","EQ","04-Sep-2023","455.15","459.00","465.00","452.40","458.00","455.50","458.85","19,73,358","90,54,70,402.70","40,438","8,41,910","42.66"
"LATENTVIEW","EQ","05-Sep-2023","455.50","460.00","466.45","452.10","459.00","455.40","460.42","16,00,360","73,68,34,892.25","31,419","6,43,643","40.22"
"LATENTVIEW","EQ","06-Sep-2023","455.40","459.00","465.90","451.30","461.00","460.30","459.60","12,69,931","58,36,63,627.05","24,877","4,24,152","33.40"
"LATENTVIEW","EQ","07-Sep-2023","460.30","461.70","463.30","454.15","455.80","455.75","457.22","6,86,361","31,38,16,215.80","17,250","3,34,242","48.70"
"LATENTVIEW","EQ","08-Sep-2023","455.75","459.90","464.00","455.90","458.50","457.85","459.40","7,73,948","35,55,53,195.20","16,274","3,42,682","44.28"
"LATENTVIEW","EQ","11-Sep-2023","457.85","461.70","462.00","452.55","455.35","454.80","456.30","6,50,993","29,70,45,654.50","14,679","3,48,694","53.56"
"LATENTVIEW","EQ","12-Sep-2023","454.80","456.05","463.65","418.00","419.10","420.65","434.90","18,08,031","78,63,05,550.75","38,735","7,81,839","43.24"
"LATENTVIEW","EQ","13-Sep-2023","420.65","421.35","432.00","411.00","423.00","425.40","421.31","12,27,029","51,69,54,706.35","24,603","4,48,102","36.52"
"LATENTVIEW","EQ","14-Sep-2023","425.40","428.50","436.60","423.00","428.05","426.90","429.98","8,60,151","36,98,51,853.85","20,771","3,01,981","35.11"
"LATENTVIEW","EQ","15-Sep-2023","426.90","429.50","436.90","426.25","427.00","427.30","431.48","5,70,501","24,61,58,322.10","13,496","2,68,713","47.10"
"LATENTVIEW","EQ","18-Sep-2023","427.30","428.50","431.60","422.00","424.00","423.45","426.83","3,43,160","14,64,69,975.50","11,654","1,86,500","54.35"
"LATENTVIEW","EQ","20-Sep-2023","423.45","420.00","422.70","414.30","420.00","419.75","418.71","5,11,184","21,40,36,782.05","16,694","2,25,075","44.03"
"LATENTVIEW","EQ","21-Sep-2023","419.75","418.60","419.05","412.35","413.95","413.85","415.53","4,40,471","18,30,28,718.00","13,988","2,03,327","46.16"
"LATENTVIEW","EQ","22-Sep-2023","413.85","414.00","421.45","407.50","417.10","417.25","415.01","5,66,470","23,50,91,993.40","15,394","2,46,699","43.55"
"LATENTVIEW","EQ","25-Sep-2023","417.25","418.35","419.35","411.15","413.10","413.00","414.82","3,04,137","12,61,60,607.35","8,404","1,40,008","46.03"
"LATENTVIEW","EQ","26-Sep-2023","413.00","413.00","416.90","411.00","413.95","411.95","413.83","2,46,486","10,20,03,209.60","8,823","1,11,585","45.27"
"LATENTVIEW","EQ","27-Sep-2023","411.95","411.00","416.05","410.05","413.10","413.35","413.96","2,86,945","11,87,82,801.10","10,122","1,24,728","43.47"
"LATENTVIEW","EQ","28-Sep-2023","413.35","414.80","419.45","408.05","411.30","409.85","412.98","3,21,405","13,27,32,551.30","12,018","1,53,195","47.66"
"LATENTVIEW","EQ","29-Sep-2023","409.85","412.00","414.95","406.00","410.40","410.70","410.75","2,92,998","12,03,48,100.30","10,293","1,25,263","42.75"
"LATENTVIEW","EQ","03-Oct-2023","410.70","411.40","411.40","401.00","401.50","402.45","405.20","4,09,508","16,59,33,459.55","11,082","2,57,386","62.85"
"LATENTVIEW","EQ","04-Oct-2023","402.45","398.80","402.45","392.85","397.00","396.10","397.91","3,50,005","13,92,70,139.50","12,354","1,81,215","51.77"
"LATENTVIEW","EQ","05-Oct-2023","396.10","397.70","415.95","397.70","412.40","412.40","408.99","5,52,271","22,58,71,432.35","15,257","2,22,032","40.20"
"LATENTVIEW","EQ","06-Oct-2023","412.40","412.40","414.60","406.20","408.45","408.25","409.51","2,62,091","10,73,28,762.65","9,267","1,30,817","49.91"
"LATENTVIEW","EQ","09-Oct-2023","408.25","404.50","404.50","395.00","396.80","396.45","398.09","3,02,996","12,06,19,562.10","11,938","1,48,584","49.04"
"LATENTVIEW","EQ","10-Oct-2023","396.45","399.95","427.70","398.30","412.45","410.50","411.12","8,96,621","36,86,21,844.40","21,860","3,01,257","33.60"
"LATENTVIEW","EQ","11-Oct-2023","410.50","414.15","418.50","412.00","412.40","413.45","414.53","3,69,123","15,30,13,427.60","11,143","1,88,490","51.06"
"LATENTVIEW","EQ","12-Oct-2023","413.45","414.40","418.50","412.40","414.75","415.15","416.10","2,89,012","12,02,56,974.75","9,290","1,33,499","46.19"
"LATENTVIEW","EQ","13-Oct-2023","415.15","411.95","415.95","407.05","409.95","408.50","411.41","2,17,802","8,96,05,973.80","8,041","1,04,650","48.05"
"LATENTVIEW","EQ","16-Oct-2023","408.50","411.70","417.45","407.00","411.00","410.25","411.49","4,75,062","19,54,82,298.60","12,063","1,93,695","40.77"
"LATENTVIEW","EQ","17-Oct-2023","410.25","430.10","434.65","424.50","433.50","431.95","430.11","21,12,710","90,86,88,274.00","39,927","7,56,576","35.81"
"LATENTVIEW","EQ","18-Oct-2023","431.95","435.90","443.90","429.55","432.70","431.60","436.13","12,18,234","53,13,05,647.55","29,202","5,06,333","41.56"
"LATENTVIEW","EQ","19-Oct-2023","431.60","430.00","440.00","427.75","437.80","436.45","435.94","7,42,789","32,38,11,268.95","18,716","3,03,183","40.82"
"LATENTVIEW","EQ","20-Oct-2023","436.45","436.00","441.75","430.10","432.50","431.75","435.40","4,57,323","19,91,16,419.45","15,225","2,12,013","46.36"
"LATENTVIEW","EQ","23-Oct-2023","431.75","431.75","434.65","405.15","411.95","409.85","417.07","7,59,145","31,66,14,080.10","29,418","3,74,799","49.37"
"LATENTVIEW","EQ","25-Oct-2023","409.85","411.10","417.05","400.05","407.80","409.75","409.47","5,85,094","23,95,79,697.30","21,551","2,79,645","47.79"
"LATENTVIEW","EQ","26-Oct-2023","409.75","406.00","417.00","398.50","412.85","412.75","408.44","4,77,613","19,50,75,746.25","20,517","2,12,250","44.44"
"LATENTVIEW","EQ","27-Oct-2023","412.75","415.70","432.50","415.10","426.90","425.95","424.34","5,61,761","23,83,79,813.65","17,342","2,48,284","44.20"
"LATENTVIEW","EQ","30-Oct-2023","425.95","415.00","426.20","411.00","413.05","414.25","416.20","7,20,915","30,00,43,095.85","22,657","3,12,484","43.35"
"LATENTVIEW","EQ","31-Oct-2023","414.25","414.75","420.75","395.20","399.35","398.15","405.76","13,48,869","54,73,13,675.15","28,728","8,22,516","60.98"
"LATENTVIEW","EQ","01-Nov-2023","398.15","401.50","410.85","398.00","400.00","400.65","404.35","8,84,119","35,74,90,490.75","21,190","3,25,214","36.78"
"LATENTVIEW","EQ","02-Nov-2023","400.65","404.45","411.50","399.00","405.90","403.05","407.02","8,71,359","35,46,60,252.60","17,963","3,40,214","39.04"
"LATENTVIEW","EQ","03-Nov-2023","403.05","407.90","417.10","406.00","411.00","410.45","411.57","5,12,071","21,07,50,812.75","12,242","1,94,618","38.01"
"LATENTVIEW","EQ","06-Nov-2023","410.45","414.45","415.80","403.80","412.45","409.85","409.12","4,72,723","19,34,01,365.75","13,221","2,20,217","46.58"
"LATENTVIEW","EQ","07-Nov-2023","409.85","408.50","417.70","408.50","414.05","411.90","413.89","4,16,243","17,22,77,106.95","10,922","1,94,906","46.83"
"LATENTVIEW","EQ","08-Nov-2023","411.90","414.95","416.40","410.05","412.95","411.85","413.29","2,87,861","11,89,70,852.75","9,546","1,49,425","51.91"
"LATENTVIEW","EQ","09-Nov-2023","411.85","412.95","414.45","407.40","412.00","410.40","410.49","2,51,907","10,34,04,106.75","8,314","1,24,974","49.61"
"LATENTVIEW","EQ","10-Nov-2023","410.40","408.10","411.00","407.65","410.00","409.40","409.41","3,39,089","13,88,27,586.05","5,800","2,43,216","71.73"
"LATENTVIEW","EQ","12-Nov-2023","409.40","417.95","422.40","415.15","418.00","417.65","417.58","2,40,059","10,02,43,892.80","7,578","1,62,162","67.55"
"LATENTVIEW","EQ","13-Nov-2023","417.65","418.00","418.15","409.00","410.25","409.95","411.85","3,56,719","14,69,13,318.70","10,687","2,34,329","65.69"
"LATENTVIEW","EQ","15-Nov-2023","409.95","417.00","417.90","411.80","412.45","412.45","413.29","3,97,798","16,44,04,532.55","8,707","2,43,571","61.23"
"LATENTVIEW","EQ","16-Nov-2023","412.45","413.20","417.70","412.00","413.80","413.20","414.68","5,05,368","20,95,65,079.20","14,254","2,90,496","57.48"
"LATENTVIEW","EQ","17-Nov-2023","413.20","413.20","419.50","409.10","411.95","412.35","414.80","4,83,179","20,04,24,044.30","14,878","2,25,241","46.62"
"LATENTVIEW","EQ","20-Nov-2023","412.35","414.50","455.00","413.00","451.65","450.50","444.13","61,41,118","2,72,74,83,486.05","1,09,581","14,86,253","24.20"
"LATENTVIEW","EQ","21-Nov-2023","450.50","462.05","487.80","460.90","465.50","463.90","475.31","1,18,25,270","5,62,06,70,991.65","1,65,124","23,48,588","19.86"
"LATENTVIEW","EQ","22-Nov-2023","463.90","470.00","478.00","456.35","463.20","462.90","466.96","28,28,520","1,32,08,09,908.80","48,687","7,22,419","25.54"
"LATENTVIEW","EQ","23-Nov-2023","462.90","466.00","469.95","456.00","460.00","458.15","460.89","10,53,397","48,55,04,343.00","20,573","2,60,770","24.76"
"LATENTVIEW","EQ","24-Nov-2023","458.15","460.00","471.95","453.65","469.15","467.95","464.71","15,12,721","70,29,78,909.65","31,078","5,52,112","36.50"
"LATENTVIEW","EQ","28-Nov-2023","467.95","470.00","480.80","468.50","478.85","479.25","475.60","21,44,559","1,01,99,47,948.85","37,137","9,95,724","46.43"
"LATENTVIEW","EQ","29-Nov-2023","479.25","482.40","489.00","472.90","476.40","476.35","481.78","18,83,081","90,72,21,569.60","37,853","7,28,294","38.68"
"LATENTVIEW","EQ","30-Nov-2023","476.35","476.60","503.90","475.10","490.90","491.10","493.51","48,55,308","2,39,61,45,675.65","85,006","14,15,929","29.16"
"LATENTVIEW","EQ","01-Dec-2023","491.10","492.00","501.80","487.00","488.70","489.45","494.88","16,12,766","79,81,19,296.45","34,328","6,60,637","40.96"
"LATENTVIEW","EQ","04-Dec-2023","489.45","496.80","503.90","487.55","490.95","490.50","495.29","12,90,934","63,93,88,057.00","32,374","5,08,152","39.36"
"LATENTVIEW","EQ","05-Dec-2023","490.50","493.80","493.80","475.00","479.45","478.75","483.32","10,77,390","52,07,20,227.75","26,472","4,84,195","44.94"
"LATENTVIEW","EQ","06-Dec-2023","478.75","480.00","486.45","474.90","479.75","478.85","480.51","9,03,512","43,41,50,040.70","20,651","3,06,361","33.91"
"LATENTVIEW","EQ","07-Dec-2023","478.85","481.40","483.50","471.05","472.00","472.90","476.58","8,09,160","38,56,26,518.40","22,719","2,90,304","35.88"
"LATENTVIEW","EQ","08-Dec-2023","472.90","475.00","483.65","466.00","469.00","469.60","474.14","7,25,399","34,39,39,838.65","21,476","2,94,915","40.66"
"LATENTVIEW","EQ","11-Dec-2023","469.60","471.40","474.20","463.95","465.00","465.00","467.93","5,12,586","23,98,53,586.20","15,434","2,64,706","51.64"
"LATENTVIEW","EQ","12-Dec-2023","465.00","468.75","468.75","451.30","454.80","453.65","458.96","8,07,263","37,05,01,919.75","26,657","4,02,416","49.85"
"LATENTVIEW","EQ","13-Dec-2023","453.65","456.00","466.00","453.00","457.80","456.40","459.90","9,91,453","45,59,68,187.05","38,766","4,56,025","46.00"
"LATENTVIEW","EQ","14-Dec-2023","456.40","461.70","477.00","461.70","471.85","471.05","471.59","11,98,860","56,53,74,178.45","26,410","4,27,299","35.64"
"LATENTVIEW","EQ","15-Dec-2023","471.05","476.80","482.50","472.25","476.80","477.95","478.37","11,34,487","54,27,04,217.40","25,817","4,59,402","40.49"
"LATENTVIEW","EQ","18-Dec-2023","477.95","478.00","479.20","471.80","474.00","473.05","475.02","5,08,052","24,13,36,324.10","15,396","2,26,163","44.52"
"LATENTVIEW","EQ","19-Dec-2023","473.05","474.90","477.00","468.10","470.25","469.40","472.02","4,07,036","19,21,28,304.45","13,609","1,66,492","40.90"
"LATENTVIEW","EQ","20-Dec-2023","469.40","472.50","487.55","432.00","445.25","455.95","473.25","20,92,202","99,01,44,606.15","52,695","7,90,854","37.80"
"LATENTVIEW","EQ","21-Dec-2023","455.95","446.00","467.00","443.05","459.80","458.20","458.80","12,71,369","58,33,05,103.15","34,936","5,52,518","43.46"
"LATENTVIEW","EQ","22-Dec-2023","458.20","463.65","467.20","450.00","458.00","457.30","457.46","8,48,138","38,79,92,544.25","21,494","4,09,049","48.23"
